bankgroup;cred_sum;n;cred_avg;cred_sum_r;n_r
Autres banques;1724973066.4;14432;119524.18697339245;0.11600250607197843;0.11602871775081804
Banques cantonales;4697403886.07;36158;129913.26638835113;0.3158951484115591;0.29069888971965624
Grandes banques (UBS et CS);5800396245.6;36269;159927.10705009787;0.3900701488077999;0.29159129463029515
PostFinance;770066605.65;14901;51678.85414737266;0.051786116454659754;0.11979932949036444
Raiffeisen;1877296409.8;22623;82981.76235689342;0.12624608025400286;0.18188176840886616
