fte_cat;cred_sum;n;cred_avg;cred_sum_r;n_r
0-9;5732177577.68;83515;68636.50335484643;0.4696523449000137;0.8217473015123339
10-49;4358173956.31;15089;288831.19864205713;0.3570766240796711;0.14846847910578465
50-249;1551752655;2675;580094.4504672898;0.1271391653955938;0.02632070923241924
>249;563046365.3;352;1599563.537784091;0.04613186562472138;0.00346351014946227
