bankgroup;cred_sum;n;cred_avg;cred_sum_r;n_r
Autres banques;1546512750;12275;125988.81873727088;0.12670984623425352;0.12078007694502661
Banques cantonales;3849872362.92;29857;128943.71045048062;0.3154301412174555;0.293778473103679
Grandes banques (UBS et CS);4750543951.5;31501;150806.13159899684;0.3892245270034974;0.30995463982446303
PostFinance;574270739.05;10667;53836.1994047061;0.04705150800848982;0.10495813285316488
Raiffeisen;1483950750.82;17331;85624.06963360452;0.12158397753630368;0.1705286772736665
