Statut juridique Rechtsform;cred_sum;n;cred_avg;cred_sum_r;n_r
Association/Fondation;143942085.71;718;200476.44249303621;0.011811950876416729;0.007075913315134373
Coopérative;68134872;175;389342.1257142857;0.005591177570237402;0.0017246306826580993
Raison individuelle (RI);1079619637.35;27196;39697.73633438741;0.08859406238760024;0.268017463117541
Société à responsabilité limitée (Sarl);2820948783.77;38099;74042.59386781805;0.23148829818897;0.3754668821633767
Société anonyme (SA);7968860437.46;33805;235730.2303641473;0.653928193161918;0.33314937272718315
Société en nom collectif (SNC);76155373;1206;63147.07545605307;0.006249343410679086;0.011885169161632387
Société simple;28478697;272;104701.0919117647;0.0023369744041786293;0.002680568832474303
