Banque Bank;n;n_r
UBS;19505;0.1921769545297798
Raiffeisen;17331;0.17075718015665797
Credit Suisse;11996;0.11819301443420858
PostFinance;10667;0.10509877333858811
Zürcher Kantonalbank;5738;0.056534804670180794
Banque Cantonale Vaudoise;4357;0.04292822306517562
Valiant;2340;0.023055322922311446
Berner Kantonalbank;1974;0.019449233952411448
Aargauische Kantonalbank;1757;0.017311197595940686
Migros Bank;1656;0.016316074683481945
