BG;cred_sum;n;cred_avg;cred_sum_r;n_r
BGM;2798265819.91;22467;124550.04317042774;0.2292692587004947;0.22106443899991143
BGO;5886336807.99;48488;121397.80580741627;0.4822830150113147;0.47709852308842776
CR;3475053583.09;29334;118465.0433998091;0.284720255406317;0.2886324054668359
SAFFA;45494343.3;1342;33900.404843517135;0.003727470881873649;0.013204632444824905
